,char_line
0,"jerry: you know, why we're here? to be out, this is out...and out is one of the single most enjoyable experiences of life. people...did you ever hear people talking about ""we should go out""? this is what they're talking about...this whole thing, we're all out now, no one is home. not one person here is home, we're all out! there are people tryin' to find us, they don't know where we are. (imitates one of these people ""tryin' to find us""; pretends his hand is a phone) ""did you ring?, i can't find him."" (imitates other person on phone) ""where did he go?"" (the first person again) ""he didn't tell me where he was going"". he must have gone out. you wanna go out: you get ready, you pick out the clothes, right? you take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation...there you're staring around, whatta you do? you go: ""we gotta be getting back"". once you're out, you wanna get back! you wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? where ever you are in life, it's my feeling, you've gotta go. (pete's luncheonette. jerry and george are sitting at a table.)"
1,"jerry: seems to me, that button is in the worst possible spot. (talking about george's shirt) the second button literally makes or breaks the shirt, look at it: it's too high! it's in no-man's-land, you look like you live with your mother."
2,george: are you through? (kind of irritated)
3,"jerry: you do of course try on, when you buy?"
4,"george: yes, it was purple, i liked it, i don't actually recall considering the buttons."
5,"jerry: oh, you don't recall?"
6,"george: (pretends he's talking into a microphone) uh, no, not at this time."
7,"jerry: well, senator, i just like to know, what you knew and when you knew it. (a waitress approaches the table)"
8,"waitress: mister seinfeld. (she pours coffee in his cup) mister costanza. (she wants to pour coffee, but george stops her)"
9,"george: are, are you sure this is decaf? where's the orange indicator?"
10,"waitress: it's missing, i have to do it in my head: decaf left, regular right, decaf left, regular right...it's very challenging work. (ironically)"
11,"jerry: can you relax, it's a cup of coffee, claire is a professional waitress."
12,waitress: trust me george: no one has any interest in seeing you on caffeine. (she pours the coffee and walks away)
13,george: how come you're not doin' the second show tomorrow?
14,"jerry: well, there's this uh, woman might be comin' in."
15,"george: wait a second, wait a second, what coming in, what woman is coming in?"
16,"jerry: i told you about laura, the girl i met in michigan?"
17,"george: no, you didn't!"
18,"jerry: i thought i told you about it, yes, she teaches political science? i met her the night i did the show in lansing...(looks in the milk can) there's no milk in here, what..."
19,"george: wait wait wait, what is she, (takes the milk can from jerry and puts it on the table) what is she like?"
20,"jerry: oh, she's really great. i mean, she's got like a real warmth about her and she's really bright and really pretty and uh...the conversation though, i mean, it was...talking with her is like talking with you, but, ya know, obviously much better."
21,"george: (with a big smile) so, ya know, what, what happened?"
22,"jerry: oh, nothing happened, ya know, but it was great."
23,"george: oh, nothing happened, but it was..."
24,jerry: yeah.
25,george: this is great!
27,"george: so, ya know, she calls and says she wants to go out with you tomorrow night? god bless! devil you!"
28,"jerry: yeah, well...not exactly. i mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we'll get together."
29,"george: (whistles disapproving) ho ho ho, ""had to""? ""had to come in""?"
30,"jerry: yeah, but..."
31,"george: ""had to come in"" and ""maybe we'll get together""? ""had to"" and ""maybe""?"
32,jerry: yeah!
33,"george: no...no...no, i hate to tell you this: you're not gonna see this woman."
34,"jerry: (indignant) what, are you serious...why, why did she call?"
35,"george: how do i know, maybe, ya know, maybe she wanted to be polite."
36,jerry: to be polite? you are insane!
37,"george: all right, all right, i didn't want to tell you this, you wanna know why she called you?"
38,jerry: yes!
39,"george: you're a back-up, you're a second-line, a just-in-case, a b-plan of contingency!"
40,"jerry: oh, i get it, this is about the button."
41,"george: (the waitress(claire) passes the table; george stops her and writes something on his note-block) claire, claire, you're a woman, right?"
42,"george: uhm...i'd like to ask you...ask you to analyze a hypothetical phone call, ya know, from a female point of view."
43,"jerry: (to george) oh, come on now, what are you asking her? now, how is she gonna know?"
44,"george: (to claire) now, a woman calls me, all right? she says she has to (makes some gestures to accent ""has to"") come to new york on business..."
45,jerry: oh you are beautiful! (ironically)
46,"george: and, and maybe (again some gestures) she'll see me when she gets there, does this woman intend to spend time with me?"
47,george: (to claire) so why did she call?
48,"george: to be polite, i rest my case."
49,"jerry: good. did you have fun? you have no idea, what you're talking about, now, come on, come with me (stands up), i, i gotta go get my stuff out of the dryer anyway."
50,george: i'm not gonna watch you do laundry.
51,"jerry: oh, come on, be a ""come-with-guy""."
52,"george: come on, i'm tired."
53,"george: (takes off his glasses and rubs his eyes; panics) right, i knew i felt something...! (jerry is laughing, claire walks away with a smile) (laundry. jerry and george are there; george is staring at one of the dryers)"
54,george: jerry? i have to tell ya somethin':...this is the dullest moment i've ever experienced. (walks away from the dryer; a man passes george and jerry)
55,"jerry: well, look at this guy! look, he's got everything, he's got: detergents, sprays, fabric softeners; this is not his first load."
56,"george: i need a break, jerry, ya know, i gotta get out of the city, i feel so cramped..."
57,jerry: and you didn't even hear how she sounded.
58,george: what?!
59,jerry: laura.
60,george: i can't believe: (falls on his knees)
61,"jerry: yeah, but how could you be so sure?"
62,"george: (gets up) 'cause it's signals, jerry (starts snapping his fingers), it's signals! don't you....all right. did she even ask you, what you were doin' tomorrow night, if you were busy?"
63,jerry: no.
64,george: she calls you today and she doesn't make a plan for tomorrow? what is that? it's saturday night!
66,"george: what is that? it's ridiculous! (jerry bobs agreeingly) you don't even know, what hotel she's staying at, you can't call her. that's a signal, jerry, that's a signal! (snaps his fingers again) signal!"
67,jerry: maybe you're right.
68,george: maybe i'm right? of course i'm right.
69,"jerry: this is insane. you know, i don't even know where she's staying! she, she's not gonna call me, this is unbelievable."
70,"george: (puts an arm around jerry and whispers) i know, i know. (normal voice) listen, your stuff has to be done by know, why don't you just see if it's dried?"
71,"jerry: no no no, don't interrupt the cycle. the machine is working, it, it knows what it's doing, just let it finish."
72,"george: you're gonna ""overdry"" it."
73,"jerry: you, you can't ""overdry""."
74,george: why not?
75,"jerry: same as you can't ""overwet"". (george looks puzzled) you see, once something is wet, it's wet. same thing with dead: like once you die you're dead, right? let's say you drop dead and i shoot you: you're not gonna die again, you're already dead. you can't ""overdie"", you can't ""overdry""."
76,george: (looks at the other persons in the laundry and says to them pointing to jerry) any questions?
77,jerry: how could she not tell me where she was staying? (george stands by the dryer again and secretly opens it: the dryer stops working and george closes the lid)
78,george: (points to the dryer) look at that: they're done! it's a miracle! (jerry looks surprised) (comedy club)
79,"jerry: ""laundry-day"" is the only exciting day in the live of clothes. it is...no, think about it: the washing machine is the nightclub of clothes. ya know, it's dark, there's bubbles happening, they're all kind a dancing around in there...shirt grabs the underwear: ""c'mon babe, let's gather"". you come by, you open up the lid and they'll: (shows how clothes are acting when you open the lid)...socks are the most amazing article of clothing. they hate their lives, they're in the shoes with stinky feet, the boring drawers...the dryer is their only chance to escape and they all know it. they knew a escape from the dryer. they plan it in the hamper, the night before: (sock's voice) ""tomorrow, the dryer, i'm goin'...you wait here!"" the dryer-door swings open and the sock is waiting up against the side wall. they hope you don't see him and then he goes down the road (shows how the sock is going down the road). they got buttons sewed on their faces: join the puppet show...so they're showing me on television the detergent for getting out blood-stains...is this a violent image to anybody? blood-stains? i mean, i, come on, you got a t-shirt with blood-stains all over it, maybe laundry isn't your biggest problem right now...maybe you oughta get the harpoon out your chest first. (jerry's apartment. jerry is watching tv)"
80,"jerry: (the phone rings. he picks it up and says:) if you know what happened in the mets-game, don't say anything, i taped it, hello... yeah, no, i'm sorry, you have the wrong number...yeah, no (somebody knocks at the door) yeah? (to the door, while still at the phone)"
81,kramer: (enters) are you up?
82,"jerry: (to kramer) yeah...(in the phone) yeah, people do move! have you ever seen the big trucks out on the street? yeah, no problem (hangs up the phone)."
83,"kramer: boy, the mets blew it tonight, huh?"
