,character,line
0,JERRY,"You know, why we're here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about ""We should go out""? This is what they're talking about...this whole thing, we're all out now, no one is home. Not one person here is home, we're all out! There are people tryin' to find us, they don't know where we are. (imitates one of these people ""tryin' to find us""; pretends his hand is a phone) ""Did you ring?, I can't find him."" (imitates other person on phone) ""Where did he go?"" (the first person again) ""He didn't tell me where he was going"". He must have gone out. You wanna go out: you get ready, you pick out the clothes, right? You take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation...There you're staring around, whatta you do? You go: ""We gotta be getting back"". Once you're out, you wanna get back! You wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? Where ever you are in life, it's my feeling, you've gotta go. (Pete's luncheonette. Jerry and George are sitting at a table.)"
1,JERRY,"Seems to me, that button is in the worst possible spot. (talking about George's shirt) The second button literally makes or breaks the shirt, look at it: it's too high! It's in no-man's-land, you look like you live with your mother."
2,GEORGE,Are you through? (kind of irritated)
3,JERRY,"You do of course try on, when you buy?"
4,GEORGE,"Yes, it was purple, I liked it, I don't actually recall considering the buttons."
5,JERRY,"Oh, you don't recall?"
6,GEORGE,"(pretends he's talking into a microphone) Uh, no, not at this time."
7,JERRY,"Well, senator, I just like to know, what you knew and when you knew it. (a waitress approaches the table)"
8,WAITRESS,"Mister Seinfeld. (she pours coffee in his cup) Mister Costanza. (she wants to pour coffee, but George stops her)"
9,GEORGE,"Are, are you sure this is decaf? Where's the orange indicator?"
10,WAITRESS,"It's missing, I have to do it in my head: decaf left, regular right, decaf left, regular right...it's very challenging work. (ironically)"
11,JERRY,"Can you relax, it's a cup of coffee, Claire is a professional waitress."
12,WAITRESS,Trust me George: no one has any interest in seeing you on caffeine. (she pours the coffee and walks away)
13,GEORGE,How come you're not doin' the second show tomorrow?
14,JERRY,"Well, there's this uh, woman might be comin' in."
15,GEORGE,"Wait a second, wait a second, what coming in, what woman is coming in?"
16,JERRY,"I told you about Laura, the girl I met in Michigan?"
17,GEORGE,"No, you didn't!"
18,JERRY,"I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing...(looks in the milk can) There's no milk in here, what..."
19,GEORGE,"Wait wait wait, what is she, (takes the milk can from Jerry and puts it on the table) what is she like?"
20,JERRY,"Oh, she's really great. I mean, she's got like a real warmth about her and she's really bright and really pretty and uh...the conversation though, I mean, it was...talking with her is like talking with you, but, ya know, obviously much better."
21,GEORGE,"(with a big smile) So, ya know, what, what happened?"
22,JERRY,"Oh, nothing happened, ya know, but it was great."
23,GEORGE,"Oh, nothing happened, but it was..."
24,JERRY,Yeah.
25,GEORGE,This is great!
26,JERRY,Yeah.
27,GEORGE,"So, ya know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!"
28,JERRY,"Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we'll get together."
29,GEORGE,"(whistles disapproving) Ho ho ho, ""Had to""? ""Had to come in""?"
30,JERRY,"Yeah, but..."
31,GEORGE,"""Had to come in"" and ""maybe we'll get together""? ""Had to"" and ""Maybe""?"
32,JERRY,Yeah!
33,GEORGE,"No...no...no, I hate to tell you this: you're not gonna see this woman."
34,JERRY,"(indignant) What, are you serious...why, why did she call?"
35,GEORGE,"How do I know, maybe, ya know, maybe she wanted to be polite."
36,JERRY,To be polite? You are insane!
37,GEORGE,"All right, all right, I didn't want to tell you this, you wanna know why she called you?"
38,JERRY,Yes!
39,GEORGE,"You're a back-up, you're a second-line, a just-in-case, a B-plan of contingency!"
40,JERRY,"Oh, I get it, this is about the button."
41,GEORGE,"(The waitress(Claire) passes the table; George stops her and writes something on his note-block) Claire, Claire, you're a woman, right?"
42,CLAIRE,"What gave it away, George?"
43,GEORGE,"Uhm...I'd like to ask you...ask you to analyze a hypothetical phone call, ya know, from a female point of view."
44,JERRY,"(to George) Oh, come on now, what are you asking her? Now, how is she gonna know?"
45,GEORGE,"(to Claire) Now, a woman calls me, all right? She says she has to (makes some gestures to accent ""has to"") come to New York on business..."
46,JERRY,Oh you are beautiful! (ironically)
47,GEORGE,"and, and maybe (again some gestures) she'll see me when she gets there, does this woman intend to spend time with me?"
48,CLAIRE,"I'd have to say: uuhh, no. (George shows his note-block to Jerry, it says very largely: NO)"
49,GEORGE,(to Claire) So why did she call?
50,CLAIRE,To be polite.
51,GEORGE,"To be polite, I rest my case."
52,JERRY,"Good. Did you have fun? You have no idea, what you're talking about, now, come on, come with me (stands up), I, I gotta go get my stuff out of the dryer anyway."
53,GEORGE,I'm not gonna watch you do laundry.
54,JERRY,"Oh, come on, be a ""come-with-guy""."
55,GEORGE,"Come on, I'm tired."
56,CLAIRE,"(to Jerry) Don't worry, I gave him a little caffeine: he'll perk up."
57,GEORGE,"(takes off his glasses and rubs his eyes; panics) Right, I knew I felt something...! (Jerry is laughing, Claire walks away with a smile) (Laundry. Jerry and George are there; George is staring at one of the dryers)"
58,GEORGE,Jerry? I have to tell ya somethin':...this is the dullest moment I've ever experienced. (walks away from the dryer; a man passes George and Jerry)
59,JERRY,"Well, look at this guy! Look, he's got everything, he's got: detergents, sprays, fabric softeners; this is not his first load."
60,GEORGE,"I need a break, Jerry, ya know, I gotta get out of the city, I feel so cramped..."
61,JERRY,And you didn't even hear how she sounded.
62,GEORGE,What?!
63,JERRY,Laura.
64,GEORGE,I can't believe: (falls on his knees)
65,JERRY,"Yeah, but how could you be so sure?"
66,GEORGE,"(gets up) 'Cause it's signals, Jerry (starts snapping his fingers), it's signals! Don't you....all right. Did she even ask you, what you were doin' tomorrow night, if you were busy?"
67,JERRY,No.
68,GEORGE,She calls you today and she doesn't make a plan for tomorrow? What is that? It's Saturday night!
69,JERRY,Yeah.
70,GEORGE,"What is that? It's ridiculous! (Jerry bobs agreeingly) You don't even know, what hotel she's staying at, you can't call her. That's a signal, Jerry, that's a signal! (snaps his fingers again) Signal!"
71,JERRY,Maybe you're right.
72,GEORGE,Maybe I'm right? Of course I'm right.
73,JERRY,"This is insane. You know, I don't even know where she's staying! She, she's not gonna call me, this is unbelievable."
74,GEORGE,"(puts an arm around Jerry and whispers) I know, I know. (normal voice) Listen, your stuff has to be done by know, why don't you just see if it's dried?"
75,JERRY,"No no no, don't interrupt the cycle. The machine is working, it, it knows what it's doing, just let it finish."
76,GEORGE,"You're gonna ""overdry"" it."
77,JERRY,"You, you can't ""overdry""."
78,GEORGE,Why not?
79,JERRY,"Same as you can't ""overwet"". (George looks puzzled) You see, once something is wet, it's wet. Same thing with dead: like once you die you're dead, right? Let's say you drop dead and I shoot you: you're not gonna die again, you're already dead. You can't ""overdie"", you can't ""overdry""."
80,GEORGE,(looks at the other persons in the laundry and says to them pointing to Jerry) Any questions?
81,JERRY,How could she not tell me where she was staying? (George stands by the dryer again and secretly opens it: the dryer stops working and George closes the lid)
82,GEORGE,(points to the dryer) Look at that: they're done! It's a miracle! (Jerry looks surprised) (Comedy club)
