,character,line
0,"GOOD NEWS, BAD NEWS",Written byLarry David & Jerry Seinfeld (Comedy club)
1,JERRY,"You know, why we're here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about ""We should go out""? This is what they're talking about...this whole thing, we're all out now, no one is home. Not one person here is home, we're all out! There are people tryin' to find us, they don't know where we are. (imitates one of these people ""tryin' to find us""; pretends his hand is a phone) ""Did you ring?, I can't find him."" (imitates other person on phone) ""Where did he go?"" (the first person again) ""He didn't tell me where he was going"". He must have gone out. You wanna go out: you get ready, you pick out the clothes, right? You take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation...There you're staring around, whatta you do? You go: ""We gotta be getting back"". Once you're out, you wanna get back! You wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? Where ever you are in life, it's my feeling, you've gotta go. (Pete's luncheonette. Jerry and George are sitting at a table.)"
2,JERRY,"Seems to me, that button is in the worst possible spot. (talking about George's shirt) The second button literally makes or breaks the shirt, look at it: it's too high! It's in no-man's-land, you look like you live with your mother."
3,GEORGE,Are you through? (kind of irritated)
4,JERRY,"You do of course try on, when you buy?"
5,GEORGE,"Yes, it was purple, I liked it, I don't actually recall considering the buttons."
6,JERRY,"Oh, you don't recall?"
7,GEORGE,"(pretends he's talking into a microphone) Uh, no, not at this time."
8,JERRY,"Well, senator, I just like to know, what you knew and when you knew it. (a waitress approaches the table)"
9,WAITRESS,"Mister Seinfeld. (she pours coffee in his cup) Mister Costanza. (she wants to pour coffee, but George stops her)"
10,GEORGE,"Are, are you sure this is decaf? Where's the orange indicator?"
11,WAITRESS,"It's missing, I have to do it in my head: decaf left, regular right, decaf left, regular right...it's very challenging work. (ironically)"
12,JERRY,"Can you relax, it's a cup of coffee, Claire is a professional waitress."
13,WAITRESS,Trust me George: no one has any interest in seeing you on caffeine. (she pours the coffee and walks away)
14,GEORGE,How come you're not doin' the second show tomorrow?
15,JERRY,"Well, there's this uh, woman might be comin' in."
16,GEORGE,"Wait a second, wait a second, what coming in, what woman is coming in?"
17,JERRY,"I told you about Laura, the girl I met in Michigan?"
18,GEORGE,"No, you didn't!"
19,JERRY,"I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing...(looks in the milk can) There's no milk in here, what..."
20,GEORGE,"Wait wait wait, what is she, (takes the milk can from Jerry and puts it on the table) what is she like?"
21,JERRY,"Oh, she's really great. I mean, she's got like a real warmth about her and she's really bright and really pretty and uh...the conversation though, I mean, it was...talking with her is like talking with you, but, ya know, obviously much better."
22,GEORGE,"(with a big smile) So, ya know, what, what happened?"
23,JERRY,"Oh, nothing happened, ya know, but it was great."
24,GEORGE,"Oh, nothing happened, but it was..."
25,JERRY,Yeah.
26,GEORGE,This is great!
27,JERRY,Yeah.
28,GEORGE,"So, ya know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!"
29,JERRY,"Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we'll get together."
30,GEORGE,"(whistles disapproving) Ho ho ho, ""Had to""? ""Had to come in""?"
31,JERRY,"Yeah, but..."
32,GEORGE,"""Had to come in"" and ""maybe we'll get together""? ""Had to"" and ""Maybe""?"
33,JERRY,Yeah!
34,GEORGE,"No...no...no, I hate to tell you this: you're not gonna see this woman."
35,JERRY,"(indignant) What, are you serious...why, why did she call?"
36,GEORGE,"How do I know, maybe, ya know, maybe she wanted to be polite."
37,JERRY,To be polite? You are insane!
38,GEORGE,"All right, all right, I didn't want to tell you this, you wanna know why she called you?"
39,JERRY,Yes!
40,GEORGE,"You're a back-up, you're a second-line, a just-in-case, a B-plan of contingency!"
41,JERRY,"Oh, I get it, this is about the button."
42,GEORGE,"(The waitress(Claire) passes the table; George stops her and writes something on his note-block) Claire, Claire, you're a woman, right?"
43,CLAIRE,"What gave it away, George?"
44,GEORGE,"Uhm...I'd like to ask you...ask you to analyze a hypothetical phone call, ya know, from a female point of view."
45,JERRY,"(to George) Oh, come on now, what are you asking her? Now, how is she gonna know?"
46,GEORGE,"(to Claire) Now, a woman calls me, all right? She says she has to (makes some gestures to accent ""has to"") come to New York on business..."
47,JERRY,Oh you are beautiful! (ironically)
48,GEORGE,"and, and maybe (again some gestures) she'll see me when she gets there, does this woman intend to spend time with me?"
49,CLAIRE,"I'd have to say: uuhh, no. (George shows his note-block to Jerry, it says very largely: NO)"
50,GEORGE,(to Claire) So why did she call?
51,CLAIRE,To be polite.
52,GEORGE,"To be polite, I rest my case."
53,JERRY,"Good. Did you have fun? You have no idea, what you're talking about, now, come on, come with me (stands up), I, I gotta go get my stuff out of the dryer anyway."
54,GEORGE,I'm not gonna watch you do laundry.
55,JERRY,"Oh, come on, be a ""come-with-guy""."
56,GEORGE,"Come on, I'm tired."
57,CLAIRE,"(to Jerry) Don't worry, I gave him a little caffeine: he'll perk up."
58,GEORGE,"(takes off his glasses and rubs his eyes; panics) Right, I knew I felt something...! (Jerry is laughing, Claire walks away with a smile) (Laundry. Jerry and George are there; George is staring at one of the dryers)"
59,GEORGE,Jerry? I have to tell ya somethin':...this is the dullest moment I've ever experienced. (walks away from the dryer; a man passes George and Jerry)
60,JERRY,"Well, look at this guy! Look, he's got everything, he's got: detergents, sprays, fabric softeners; this is not his first load."
61,GEORGE,"I need a break, Jerry, ya know, I gotta get out of the city, I feel so cramped..."
62,JERRY,And you didn't even hear how she sounded.
63,GEORGE,What?!
64,JERRY,Laura.
65,GEORGE,I can't believe: (falls on his knees)
66,JERRY,"Yeah, but how could you be so sure?"
67,GEORGE,"(gets up) 'Cause it's signals, Jerry (starts snapping his fingers), it's signals! Don't you....all right. Did she even ask you, what you were doin' tomorrow night, if you were busy?"
68,JERRY,No.
69,GEORGE,She calls you today and she doesn't make a plan for tomorrow? What is that? It's Saturday night!
70,JERRY,Yeah.
71,GEORGE,"What is that? It's ridiculous! (Jerry bobs agreeingly) You don't even know, what hotel she's staying at, you can't call her. That's a signal, Jerry, that's a signal! (snaps his fingers again) Signal!"
72,JERRY,Maybe you're right.
73,GEORGE,Maybe I'm right? Of course I'm right.
74,JERRY,"This is insane. You know, I don't even know where she's staying! She, she's not gonna call me, this is unbelievable."
75,GEORGE,"(puts an arm around Jerry and whispers) I know, I know. (normal voice) Listen, your stuff has to be done by know, why don't you just see if it's dried?"
76,JERRY,"No no no, don't interrupt the cycle. The machine is working, it, it knows what it's doing, just let it finish."
77,GEORGE,"You're gonna ""overdry"" it."
78,JERRY,"You, you can't ""overdry""."
79,GEORGE,Why not?
80,JERRY,"Same as you can't ""overwet"". (George looks puzzled) You see, once something is wet, it's wet. Same thing with dead: like once you die you're dead, right? Let's say you drop dead and I shoot you: you're not gonna die again, you're already dead. You can't ""overdie"", you can't ""overdry""."
81,GEORGE,(looks at the other persons in the laundry and says to them pointing to Jerry) Any questions?
82,JERRY,How could she not tell me where she was staying? (George stands by the dryer again and secretly opens it: the dryer stops working and George closes the lid)
83,GEORGE,(points to the dryer) Look at that: they're done! It's a miracle! (Jerry looks surprised) (Comedy club)
84,JERRY,"""Laundry-day"" is the only exciting day in the live of clothes. It is...no, think about it: the washing machine is the nightclub of clothes. Ya know, it's dark, there's bubbles happening, they're all kind a dancing around in there...shirt grabs the underwear: ""C'mon babe, let's gather"". You come by, you open up the lid and they'll: (shows how clothes are acting when you open the lid)...Socks are the most amazing article of clothing. They hate their lives, they're in the shoes with stinky feet, the boring drawers...the dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper, the night before: (sock's voice) ""Tomorrow, the dryer, I'm goin'...you wait here!"" The dryer-door swings open and the sock is waiting up against the side wall. They hope you don't see him and then he goes down the road (shows how the sock is going down the road). They got buttons sewed on their faces: join the puppet show...So they're showing me on television the detergent for getting out blood-stains...Is this a violent image to anybody? Blood-stains? I mean, I, come on, you got a T-shirt with blood-stains all over it, maybe laundry isn't your biggest problem right now...Maybe you oughta get the harpoon out your chest first. (Jerry's apartment. Jerry is watching TV)"
85,JERRY,"(The phone rings. He picks it up and says:) If you know what happened in the Mets-game, don't say anything, I taped it, hello... Yeah, no, I'm sorry, you have the wrong number...Yeah, no (somebody knocks at the door) Yeah? (to the door, while still at the phone)"
86,KRAMER,(enters) Are you up?
87,JERRY,"(To Kramer) Yeah...(in the phone) Yeah, people do move! Have you ever seen the big trucks out on the street? Yeah, no problem (hangs up the phone)."
88,KRAMER,"Boy, the Mets blew it tonight, huh?"
89,JERRY,"(upset) Ooohhhh, what are you doing? Kramer, it's a tape! (actually I can't understand the name; maybe ""Kramer"" wasn't named ""Kramer"" in the pilot!) I taped the game, it's one o'clock in the morning! I avoided human contact all night to watch this."
90,KRAMER,"Hey, I'm sorry, I...ya know, I, I thought you knew...(takes two loaves of bread out of his pockets) You got any meat?"
91,JERRY,"(a little irritated) Meat? I don't, I don't know, go...hunt! (Kramer walks to the refrigerator and sticks his head in) Well what, what happened in the game anyway?"
92,KRAMER,"(still with his head in the refrigerator) What happened? Well, they STUNK, that's what happened! (takes some meat from the refrigerator and closes it) Ya know, I almost wound up going to that game."
93,JERRY,(cynical) Yeah you almost went to the game. You haven't been out of the building in ten years!
94,KRAMER,"Yeah. (Jerry sits down on the couch. Kramer sits down next to him and starts turning over the pages of a magazine. Suddenly he spots an article he likes and tears it out. Jerry looks at him with a ""what-the-h...-are-you-doing-look"" and Kramer asks:) Are you done with this?"
95,JERRY,No.
96,KRAMER,"(glues the article back with his own saliva and puts the magazine back on the table) When you're done, let me know."
97,JERRY,"Yeah, yeah...you can have it tomorrow."
98,KRAMER,I thought I wasn't allowed to be in here this weekend.
99,JERRY,"No, it's OK now, that, that girl is not comin' uh, I, I misread the whole thing."
100,KRAMER,You want me to talk to her?
101,JERRY,I don't think so.
102,KRAMER,"Oh, I can be very persuasive. Do you know that I was almost... a lawyer. (shows with his fingers how close it was)"
103,JERRY,"That close, huh?"
104,KRAMER,You better believe it. (The phone rings. Jerry picks it up)
105,JERRY,"Hello...Oh, hi, Laura."
106,KRAMER,Give me it...let me talk to her (continues this way).
107,JERRY,"(gestures Kramer to shut up) No believe me, I'm always up at this hour. How are you?...great...sure...What time does the plane get in?...I got my friend George to take me...(Kramer suddenly notices something in the Mets-game on"
108,KRAMER,A SLIDE!...Wow!
109,JERRY,"...No, it's, it's just my neighbour...uhm...yeah, I got it (takes a pencil and a cereal box to write on) ten-fifteen...No, don't be silly, go ahead and ask...Yeah, sure...OK, great, no no, it's no trouble at all...I'll see you tomorrow...great, bye. (hangs up the phone; to Kramer:) I, I don't believe it...That, that was her. She wants to stay here! (Jerry's apartment. Jerry and George enter, lifting a heavy mattress)"
110,JERRY,"If my father was moving this he'd had to have a cigarette in his mouth the whole way. (talks from now on like he has a cigarette in his mouth) Have you got your end?...Your end's got to come down first, easy now, drop it down...drop it down, your end's got to come down."
111,GEORGE,"Ya know, I can't believe you're bringin' in an extra bed for woman, that wants to sleep with you. Why don't you bring in an extra guy too? (sits down)"
112,JERRY,"(hands George a beer) Look, it's a very awkward situation, I, I don't wanna be presumptuous."
